,RPM_filename,PDMS #,RPM,RPM_std
0,PDMS RPM 1.CSV,1,5535.093034753877,5.106226532308206
1,PDMS RPM 1.5.CSV,1,5523.750090442081,3.3705773483277386
2,PDMS RPM 2.CSV,2,4358.358611391978,1.9229670735917501
3,PDMS RPM 3.CSV,3,3726.713825413873,1.8899683829480904
4,PDMS RPM 4.CSV,4,3291.281087333719,1.5652570195639914
5,PDMS RPM 5.CSV,5,2664.3173198482937,2.245456039230685
6,PDMS RPM 6.CSV,6,2198.819589598894,1.707686613544977
7,PDMS RPM 7.CSV,7,1611.4966582789264,2.238993823906532
8,PDMS RPM 8.CSV,8,1114.3271663162914,0.8676222685549618
9,PDMS RPM 9.CSV,9,915.4405674880055,1.082977247403389
10,PDMS RPM 10.CSV,10,3120.127338877339,1.4066161054191872
11,PDMS RPM 11.CSV,11,3490.404943893316,1.7605004955772037
12,PDMS RPM 12.CSV,12,4043.1364761857762,2.5686882215444475
13,PDMS RPM 13.CSV,13,4779.609707534615,2.073610512418063
14,PDMS RPM 14.CSV,14,5573.621811008959,2.23985989764314
