,transmitance_filename,RPM_filename,PDMS #,RPM,RPM_std,thickness (um),thickness_std,min_wavelength,max_wavelength,n_max
0,19-09-24_alpha_trans_PDMS_1.TRM,PDMS RPM 1.5.CSV,1,5523.750090442081,3.3705773483277386,7.071152813769811,0.5675642541645703,440,740,22.0
1,19-09-24_alpha_trans_PDMS_2.TRM,PDMS RPM 2.CSV,2,4358.358611391978,1.92296707359175,12.213809405602403,0.9803382571933487,440,740,38.0
2,19-09-24_alpha_trans_PDMS_3.TRM,PDMS RPM 3.CSV,3,3726.713825413873,1.8899683829480904,9.642481109686107,0.7739512556789595,440,740,30.0
3,19-09-24_alpha_trans_PDMS_4.TRM,PDMS RPM 4.CSV,4,3291.281087333719,1.5652570195639914,10.928145257644253,0.8771447564361542,440,740,34.0
4,19-09-24_alpha_trans_PDMS_5.TRM,PDMS RPM 5.CSV,5,2664.3173198482937,2.245456039230685,13.499473553560549,1.0835317579505435,440,740,42.0
5,19-09-24_alpha_trans_PDMS_6.TRM,PDMS RPM 6.CSV,6,2198.819589598894,1.707686613544977,16.713633923455916,1.34151550984353,440,740,52.0
8,19-09-24_alpha_trans_PDMS_11.TRM,PDMS RPM 11.CSV,11,3490.404943893316,1.7605004955772037,12.213809405602403,0.9803382571933487,440,740,38.0
9,19-09-24_alpha_trans_PDMS_12.TRM,PDMS RPM 12.CSV,12,4043.136476185776,2.5686882215444475,10.606729220654717,0.8513463812468556,440,740,33.0
10,19-09-24_alpha_trans_PDMS_13.TRM,PDMS RPM 13.CSV,13,4779.609707534615,2.073610512418063,8.999649035707032,0.7223545053003623,440,740,28.0
11,19-09-24_alpha_trans_PDMS_14.TRM,PDMS RPM 14.CSV,14,5573.621811008959,2.23985989764314,7.713984887748885,0.6191610045431675,440,740,24.0
